id,title,authors,venue,year
63187,sulphur deficiency in the prairie provinces of canada,"jr bettany , hh janzen , jwb stewart","proc . int . sulphur â ?? 82 conf ,",
63188,grid computing,s lais,,
63189,designing problems to promote higher-order thinking . chapter 3 in,re weiss,new directions for teaching and,
63190,test routines based on symbolic logical statements,rd eldred,"journal of the acm ( jacm ) ,",1959.0
63191,cdrom versus online . the uk perspective,r hollis,"electronic library ,",1993.0
63192,temporal coalescing,"mh bohlen , rt snodgrass , md soo","proceedings of the international conference on very large & hellip ; ,",
63193,"infrared phys. , 14","j itakura , s tsutsumi , t takagi","no . i ,",
63194,views in a large-scale xml repository,"v aguilera , s cluet , t milo , p veltri , d vodislav","the vldb journal the international journal on very large & hellip ; ,",2002.0
63195,the influence of multiple scattering on the total and differential compton cross-sections in,"p pattison , s manninen , j felsteiner , m cooper","phil . mag. ,",1974.0
63196,h. mckim r f. meyer h and wolf wp 1957,ah cooke,"phil . mag ,",
63197,using media resources to implement the new ncss curriculum standards . media corner .,"sl field , jd hoge","social studies and the young learner ,",1995.0
63198,the project officer 's role in managing federal program evaluations,"j radzikowski , wb seaver","new directions for program evaluation ,",1983.0
63199,myc [ n : a rule-bed computer program to ac [ uise physiciatzs reeardn e an . tinzicrobixl therapy,eh shortljffe,"doctoral dissertation , stanford university , october 1974 .",
63200,"stanford university , extracting structured data from web pages","a arasu , h garcia-molina","proceedings of the 2003 acm sigmod international conference & hellip ; ,",
63201,semantic query optimization for xquery over xml streams,"h su , ea rundensteiner , m mani","proceedings of the 31st international conference on very & hellip ; ,",2005.0
63202,"the international relations and security network ( isn ) â ? , ed . by centre for studies of conflict","a wenger , s libiszewski , ap initiatives","zurich , switzerland ,",
63203,on the decidability and complexity of query answering over inconsistent and incomplete databases,"a calä ± , d lembo , r rosati","proc . of the 22nd acm sigact sigmod sigart symp . on & hellip ; ,",2003.0
63204,shrinking the warehouse update window,"wj labio , r yerneni",,
63205,structure and applicability of quality tools,waj schippers,,2000.0
63206,a study of some social factors in perception,m sherif,,1935.0
63207,structural genomics .,i bertini,"acc . chem . res ,",2003.0
63208,characterizations of the stable semantics by partial evaluation,"s brass , j dix","lecture notes in computer science ,",1995.0
63209,transactional client-server cache consistency : alternatives and performance,"mj franklin , mj carey , m livny",,
63210,olefin metathesis and metathesis polymerization,jc mol,"academic : san diego ,",
63211,industrial employerâ ?? s perceptions about technological literacy as an employability skill for new,jm glynn,,2003.0
63212,biometry : wh freeman,"rr sokal , fj rohlf","new york ,",
63213,"fast , flexible , & forward-looking",j seymour,"pc magazine , feb ,",
63214,d. . j. dewitt : â ?? hybriclrange partitioning strategy for multiprocessor database machinesâ ??,s ghandeharizacleh,"proc . on vldb ,",
63215,first order categorical logic,"m makkai , ge reyes",,1977.0
63216,providing high availability in very large workflow management systems,"m kamath , g alonso , r guenthoer , c mohan","lecture notes in computer science ,",1996.0
63217,cmos thermoelectric infrared sensors,r lengghenhager,,1994.0
63218,from shiq to owl : the making of a web ontology language,"i horrocks , pf patel-schneider , f van harmelen","journal of web semantics ,",
63219,andr . ramakrishnan . thecaseforenhancedabstractdatatypes,"p seshadri , m livny","inproceedings ofthe 23thvldb conference , athens , greece , aug ,",
63220,"phylip ( phylogeny inference package ) , version 3.4 , department of genetics , sk-540",j felsenstein,,1992.0
63221,philosophical writings,cs peirce,"new york ,",
63222,"the evolution of cycl , the cyc representation language","db lenat , rv guha","acm sigart bulletin ,",1991.0
63223,biogeography and taxonomy of honeybees,f ruttner,,1987.0
63224,evaluating the 1992 and 1993 community integrated service system projects,"rn roberts , bh wasik","new directions for program evaluation ,",
63225,in vivo-synthesized radioactively labelled - methyl serotonin as a selective tracer for,"z cohen , k tsuiki , a takada , a beaudet","synapse-new york - ,",1995.0
63226,confronting new understandings about professional learning and change,"hkm baskett , vj marsick","new directions for adult and continuing education ,",1992.0
63227,a methodology of application program analysis and conversion based on database semantics,"syw su , bj liu","proceedings of the 1977 acm sigmod international conference & hellip ; ,",1977.0
63228,fourier method for correction of depth-dependent collimator blurring,"rm lewitt , pr edholm , w xia","proc . spie ,",1989.0
63229,how speech/text alignment benefits web-based learning,"sw li , ht lin , hy chen","proceedings of the 13th annual acm international conference & hellip ; ,",2005.0
63230,aeroelastic tailoringâ ?? creative use of unusual materials . aiaa paper 87 0976,t weisshaar,"proc . 28th aiaa/asme/asce / ahs structures , structural & hellip ; ,",
63231,primary mesothelioma of the atrioventricular node .,"rc picoff , c petenyi","arch pat/to ,",1970.0
63232,the role of the glottic and epiglottic planes in the phonetic qualities of voice in the bor dinka,"ja edmondson , jh esling , gj harris , d martin , ec","unpublished manuscript ,",2003.0
63233,systematic development of data mining-based data quality tools,"d luebbers , u grimmer , m jarke","proceedings of the international conference on very large & hellip ; ,",2003.0
63234,development of 170 ghz high power long pulse gyrotron for iter,"k sakamoto , a kasugai , m tsuneoka , k takahashi , t","proc . 21st int . conf . on infrared and millimeter waves , & hellip ; ,",
63235,treatment of lennox-gastaut syndrome,"e hancock , h cross","cochrane database syst rev ,",2003.0
63236,the use of guidelines in user interface design,"l tetzlaff , dr schwartz","proceedings of acm chi ,",
63237,fracture reconstruction and advanced micromechanical modeling of structural steels,k edsinger,,1995.0
63238,atom,lj kieffer,"at . data ,",
63239,a case of posterior fossa hypertrophic pachymeningitis with hydrocephalus,"t oku , m yamashita , t inoueâ ? ¦","no to shinkei ,",1995.0
63240,a taxonomy of time in databases,"i ahn , r snodgrass","proc . acm sigmod int . conf . on management of data , austin ,",
63241,1 . kuo 1982 . '' guide : a graphical user interface for database exploration,h wong,proceedings of the conference on very large,
63242,the year 2000 version of iso 9000 and the process cost model for measuring quality costs in,"rt aoieong , sl tang","proc. , int . conf . on construction in the 21st century , & hellip ; ,",
63243,neighborhood economic development and local working : the effect of nearby jobs on where residents,d immergluck,"economic geography ,",1998.0
63244,flow-insensitive interprocedural alias analysis in the presence of pointers,"m burke , p carini , jd choi , m hind","lecture notes in computer science ,",1995.0
63245,relational databases for querying xml documents : limitations and opportunities,jsktc zhangâ ? ¦,"proc . of vldb , edinburgh , september ,",
63246,environmental impact of ganga basin development on gene-pool and fisheries of the ganga river system,av natarajan,proceedings of the international large river symposium ( lars ),
63247,implementing abstract objects with inheritance in datalogneg,hm jamil,"proceedings of the international conference on very large & hellip ; ,",1997.0
63248,"system description : mathweb , an agent-based communication layer for distributed automated theorem","a franke , m kohlhase","lecture notes in computer science ,",1999.0
63249,changing the professional knowledge of teachers,"j bobis , p gould","proceedings of the 23rd annual conference of the mathematics & hellip ; ,",
63250,best quadratic spline approximation for hierarchical visualization,"df wiley , hr childs , b hamann , ki joy , nl max",,
63251,dissemination of dynamic data on the internet,"k ramamritham , p deolasee , a katkar , a panchbudhe ,",,
63252,the blog phenomenon ',jc dvorak,"pc magazine ,",2002.0
63253,"graph cohomology and kontsevich cycles . 2003 , e-print : math",k igusa,,
63254,"rechnernetze , teubner , 1994 g as tanenbaum","jkgw kowalk , p burke",computer,
63255,building tailor-made software cost model : intermediate tucomo,"r marwane , a mili","information and software technology ,",1991.0
63256,kvl : a key-value locking method for concurrency control of multiaction transactions operating on b -,cm aries,proceedings of the 16th vldb conference .,
63257,"design and implementation of a modular , flexible , and fast system for dynamic protocol composition .","dr engler , da wallach , mf kaashoek",,1996.0
63258,the promise of american life,h croly,,
63259,content-based retrieval in gene expression databases,t syeda-mahmood,"proceedings of the 12th annual acm international conference & hellip ; ,",2004.0
63260,springer 1995,e book,,
63261,querying atsql databases with temporal logic,"j chomicki , d toman , mh bohlen","acm transactions on database systems ,",2001.0
63262,a brief introduction to clu,j guttag,"history of programming languages ,",1993.0
63263,"i2 , near you",s rupley,"pc magazine ,",
63264,"principles of database and knowledge-base systems , volume ii , computer science press , rockville ,",jd unman,"proc . of the acm sigmod international conference on & hellip ; ,",
63265,towards an extensible virtual machine,c boyapati,,
63266,team learning : a comprehensive approach for harnessing the power of small groups in higher education,lk michaelsen,"to improve the academy ,",
63267,"garcia-mâ ? cents lina , h",r asbott,"& hellip ; real-time transactions . acm sigmod rec . ( mar. 1988 ) ,",
63268,"problems concerning mugu lagoon , senior thesis ( environmental studies )",s daniels,"university of california , santa barbara ,",
63269,on the expressive power of the logical data model,"gm kuper , m vardi",proceedings of the acm sigmod international conference on,
63270,integration of document image processing and text retrieval principles,n van der merwe,"electronic library ,",1993.0
63271,nd-sql : a multi-dimensional language for interoperability and olap,"f gingras , lvs lakshmanan","vldb ,",1998.0
63272,cranial ct scans-emergency department utilization,"de sinclair , g kovacs , m hillis","journal of emergency medicine ,",1993.0
63273,pulsed supersonic molecular-beam coherent anti-stokes raman spectroscopy of c2h2,"md duncan , p oesterlin , rl byer","md ,",1981.0
63274,characterization of h-mode discharges in nstx,"r maingi , mg bell , re bell , ce bush , ed",,
63275,the possibilities to control and to regulate the energy consumption ( abstract only ),a lepisto,"oulu univ , proceedings of the 25 th annual conference of the & hellip ; ,",1991.0
63276,the causes and consequences of a need for self-esteem : a terror management theory,"j greenberg , t pyszczynski , s solomon","public self and private self ,",1986.0
63277,customer service and network completeness ',"rt watson , mk brohman , a parasuraman , g piccoli","proceedings of the 15 d &#39; bled electronic commerce conference , & hellip ; ,",
63278,simulation of distributed attacks against computer networks,"v gorodetski , i kotenko , ev man ` kov",proceedings of the ii-d interregional conference on,
63279,rotary wing aeroelasticity in forward flight with refined structure modelling,"arm altmikus , b buchtala , s wagner","european rotorcraft forum , 25 th , rome , italy , proceedings. ,",1999.0
63280,the staged model of the software lifetime : a new perspective on software maintenance,"kh bennett , v rajlich","ieee computer ,",
63281,a conditional approach to dispositional constructs : the local predictability of social behavior,"jc wright , w mischel","journal of personality and social psychology ,",1987.0
63282,manager locks down as the feds move in,m thurman,"computerworld ,",
63283,"doppler radar and weather observations , 2nd ed.â ?? academic press","rj doviak , ds zrnic","san diego ,",
63284,"the racial wage gap : the importance of labor force attachment differences across black , mexican and","h antecol , k bedard","unpublished paper , university of california , santa barbara ,",
63285,fourier analysis of uniform random number generators,"rr coveyou , rd macpherson","journal of the acm ( jacm ) ,",1967.0
63286,economic reasoning and values education .,mc schug,"social studies and the young learner ,",1988.0
63287,"identifying suck-ups , and other management secrets",j kirchner,"pc magazine ,",
63288,womenâ ?? s economic status in the restructuring of eastern europe,"m fong , g paull","see below ,",
63289,the end of the reign : department chair no more,e smith,"new directions for higher education ,",2004.0
63290,individual differences in basal cisternal cerebrospinal fluid 5-hiaa and hva in monkeys the effects,"mj raleigh , gl brammer , mt mcguire , db pollack","neuropsychopharmacology-san diego - ,",1992.0
63291,california smog fuels telecommuting plans,ja savage,"computerworld ,",
63292,universally composable notions of key exchange and secure channels,"r canetti , h krawczyk","lecture notes in computer science ,",2002.0
63293,handbook of mathematical functions.-dover,"m abramowitz , ia stegun","new york ,",
63294,parallel data mining for association rules on shared-memory systems,"s parthasarathy , mj zaki , m ogihara , w li","knowledge and information systems ,",2001.0
63295,designing the mathematics of the mechanical universe,jf blinn,,1995.0
63296,an approach to information management for cad/vlst applications,"d mcleod , k narayanawamy , k bapa rao","proc . sigmod conference on databases for engineering & hellip ; ,",
63297,"and a. yeh ( 1989 ) chinaâ ?? s modernisation : trends , foci , balance and imbalance",d phillips,,
63298,"s. and rosenthal , a. g-whiz , a visual interface for the functional model with recursion",hr heiler,proceedings of,
63299,the future of business groups in emerging markets : long-run evidence from chile,"t khanna , k palepu",,
63300,"ps and wolfson , o. 1994a . data replication for mobile computers",y huang,"proceedings of the acm-sigmod , international conference on",
63301,electronic commerce back-office integration,"k lamond , ja edelheit","bt technology journal ,",1999.0
63302,birch : an efficient data clustering methodfor very large databases,"t zhang , r ramakrishnan , m livny","proc . acm sigmod intl. conf . on managementof data , pages103 & hellip ; ,",
63303,a sql server xml and asp . net runtime application,c nolan,"microsoft corporation ,",
63304,intelligent rollups in multidimensional olap data,"g sathe , s sarawagi","vldb ,",2001.0
63305,a multidatabase system for tracking and retrieval of financial data,"m cochinwala , j bradley","proceedings of the international conference on very large & hellip ; ,",1994.0
63306,extracorporeal photopheresis induces lymphocyte but not monocyte apoptosis,"ar tambur , jw ortegel , a morales , h klingemann , hm","transplantation proceedings ,",2000.0
63307,control ofmechanical systems with classical non-holonomic contraints,"am bloch , nh mcclamroth",proc . 28th ieee conf . on decision and,
63308,electronic cash in hong kong,"jc westland , m kwok , j shu , t kwok , h ho","electronic markets ,",
63309,"w. h4urra . y , db poncele6n , and ma saunders , preconditioners for indefinite systems arising in",pe gill,"technical report sol 90-8 , stanford university , stanford , ca ,",
63310,semantic overlay networks for p2p systems,"a crespo , h garcia-molina",submitted for,
63311,host immune responses against cryptosporidium,"v mcdonald , r smith , h robinson , g bancroft","contributions to microbiology ,",2000.0
63312,fluid concepts & creative analogies : computer models of the fundamental mechanisms of thought . ( 1996 ),d hofstadter,,
63313,the doctrine of the rings,wb morgan,"geography ,",
63314,rate adaptation transcoding for precoded video streams,zlnd georganas,"proceedings of acm multimedia ,",
63315,"complexity classes , propositional proof systems , and formal theories",sa cook,"proceedings of the 17th ieee symposium22-25 july 2002 on & hellip ; ,",2002.0
63316,supporting lists in a data model ( a timely approach ),j richardson,"proceedings of the international conference on very large & hellip ; ,",1992.0
63317,"high resolution commercial remote sensing satellites : their value for environmental monitoring , 1997",s kilston,"seattle , washington , april ,",
63318,the evolution of conferencing,i parke,"bt technology journal ,",1997.0
63319,"metals , biomaterials science : an introduction to materials in medicine","jb brunski , bd ratner","san diego : academic ,",
63320,visual recognition using local appearance,"vc de verdiere , jl crowley","lecture notes in computer science ,",1998.0
63321,semantic optimization : what are disjunctive residues useful for ?,wlj kowarschick,"sigmod record ,",1992.0
63322,domino logic synthesis and technology mapping,"mr prasad , d kirkpatrick , rk brayton , a",,
63323,the timeâ ?? s not right for asps,d hudson,,
63324,improved approximations for the multi-commodity flow problem and local competitive routing in,"b awerbuch , ft leighton","proc . 26th acm stoc ,",
63325,properties of protection goals and their integration into a user interface,"a pfitzmann , g wolf","computer networks ,",
63326,monitoring plan : project no,toâ ?? neil,"& hellip ; and wetland restoration demonstration project . baton rouge , & hellip ; ,",
63327,"z. , and ap gharavi","l yu , wk chan","acc . chem . res ,",
63328,fast scalable algorithms for level four switching,"v srinivasan , g varghese , s suri , m waldvogel",proceedings of acm,
63329,"galileo : a strongly-typed , interactive conceptual language","a albano , l cardelli , r orsini","acm transactions on database systems ,",1985.0
63330,regression modeling of software quality,"jc munson , tm khoshgoftaar","information and software technology ,",
63331,enamel matrix derivative ( emdogain ) for periodontal tissue regeneration in intrabony defects,"m esposito , p coulthard , hv worthington","cochrane database syst rev ,",2003.0
63332,microwave molecular spectra,"w gordy , rl cook",,1984.0
63333,on automated lesson construction from electronic textbooks,"g ozsoyoglu , nh balkir , zm ozsoyoglu , g cormode","knowledge and data engineering , ieee transactions on ,",2004.0
63334,an investigation of in-cylinder tumbling motion in a four-valve spark ignition engine,"y li , s liu , sx shi , m feng , x sui","proceedings of the i mech e part d journal of automobile & hellip ; ,",2001.0
63335,link layer assisted mobile ip fast handoff method over wireless lan networks,"h yokota , a idoue , t hasegawa , t kato",,
63336,temporal statement modifiers,"mh boehlen , cs jensen , rt snodgrass","acm transactions on database systems ,",2000.0
63337,"research in databases and data-intensive applications computer science dept. and fzi , university of","u herzog , g hillebrand , u kslsch , b ksnig-ries , p","sigmod record ,",1997.0
63338,functions of vascular wall cells related to development of transplantation-associated coronary,"p libby , rn salomon , dd payne , fj schoen , js pober","transplant proc ,",1989.0
63339,a new global optimization strategy for the molecular replacement problem,dc jamrog,,2002.0
63340,improving the emergency department detection rate of domestic violence using direct questioning,"lj morrison , r allan , a grunfeld","journal of emergency medicine ,",2000.0
63341,a linear algorithm for the hamiltonian completion problem for trees,"s goodman , s hedetniemi",submitted for,
63342,"yuan , â ??",a motro,"querying database knowledgeâ ?? , acm sigmod international & hellip ; ,",
63343,an optimization problem on the selection of secondary keys,"vy lure , h ling","proc . acm nat . conf ,",
63344,development and validation of brief measures of positive and negative affect : the panas scales,"d watson , la clark , a tellegen","journal of personality and social psychology ,",1988.0
63345,curriculum vitae,b yener,"computer networks ,",1994.0
63346,"optical sources , detectors , and systems : fundamentals and applications academic",rh kingston,"san diego , calif ,",
63347,the socioeconomic consequences of teenage childbearing : results from a natural experiment .,"j grogger , s bronars","& hellip ; manuscript , university of california-santa barbara ,",
63348,shedding rhythm and germination of spores in gelidium robustum,"sa guzman-del proo , s de la campa-de guzman , j","proc . int . seaweed symp ,",
63349,why use sgml ? .,d barron,,
63350,"identifying similarities , periodicities and bursts for online search queries",m vlachos,"proceedings of the 2004 acm sigmod international conference & hellip ; ,",2004.0
63351,digital signatures - an overview,sm matyas,"computer networks ,",
63352,implications of certain assumptions in database performance evauation,s christodoulakis,"acm transactions on database systems ,",1984.0
63353,ultrasonic imaging using arrays,a macovski,"proc . ieee ,",
63354,"declarative data cleaning : language , model , and algorithms","h galhardas , d florescu , d shasha , e simon , ca","vldb ,",2001.0
63355,a probabilistic analysis for the range assignment problem in ad hoc networks,"p santi , dm blough , f vainstein",,
63356,enabling dynamic content caching for database-driven web sites,"ks candan , ws li , q luo , wp hsiung , d agrawal","proceedings of the 2001 acm sigmod international conference & hellip ; ,",2001.0
63357,about micro-typography and the hz-program,h zapf,,
63358,distributed object computing : the brave new world,"m guttman , v ohnjec","application development trends ,",1997.0
63359,a reputation system for peer-to-peer systems,"m gupta , p judge , m ammar","proceedings of acm nossdav ,",
63360,simulating a complex software system,"ds mok , st becker","proceedings of the 23rd annual symposium on simulation ,",1990.0
63361,a human-computer interactive method for projected clustering,cc aggarwal,"knowledge and data engineering , ieee transactions on ,",2004.0
63362,on the design of the p0-robot system,"ep da silva , fl pereira , j sequeira , i ribeiro",,
63363,two-dimensional substring indexing - group of 6 & raquo ;,"p ferragina , n koudas , d srivastava , s","proceedings of the twentieth acm sigmod-sigact-sigart & hellip ; ,",2001.0
63364,special issue on prototypes of deductive database systems,k ramamohanarao,"the vldb journalâ ?? the international journal on very large & hellip ; ,",1994.0
63365,active server pages,lc gladwin,"computerworld ,",
63366,current research efforts in japan for passive and active control of highway bridges against,"k kawashima , s unjoh , h nagashima , h shimizu","proceedings of the 23rd joint meeting , us-japan panel on & hellip ; ,",
63367,"on the discrepancy principle , nonlinear functional anal . and applic. , ( 2003 )",ag ramm,at,
63368,back to the future,"jl bybee , w pagliuca , rd perkins","approaches to grammaticalization ,",
63369,an array-based algorithm for simultaneous multidimensional aggregates,"z yihong , p deshpande , j naughton",,1997.0
63370,"location estimation indoors by means of small computing power devices , accelerometers , magnetic","e vildjiounaite , ej malm , j kaartinen , p alahuhta",,2002.0
63371,"menon , and merlin",k friedlander,"phil . mag ,",
63372,critical path identification in the context of a workflow,"dh chang , jh son , mh kim","information & software technology ,",2002.0
63373,"sigirâ ?? 95 , proceedings of the 18th annual international acm sigir conference on research and","e fox , p ingwersen , r fidel",,1995.0
63374,taking back cyberspace,"jm bradshaw , g cabri , r montanari",,
63375,fattening from smooth initial data in mean curvature flow,"sb angenent , t ilmanen , jjl velazquez","preparation ,",
63376,"2d-and 3d-enhanced assumed strain elements and their application in plasticity '' , computational","u andelfinger , e ramm , d roehl","proceedings of the 4th international conference , , ed . d. & hellip ; ,",
63377,privacy-preserving indexing of documents on the network,"m bawa , r agrawal","proceedings of the international conference on very large & hellip ; ,",2003.0
63378,a method for the evaluation of the fatigue strength of mechanical structures with sharp notches is,"b atzori , c pappalettere","procs . ( suppl . papers ) . international conference on fatigue & hellip ; ,",
63379,vocational education and the collegiate ideal : the threat and the challenge of limited resources,ls hagedorn,"new directions for higher education ,",1999.0
63380,an approximation algorithm for the minimum-degree spanning tree problem,"m fã 1/4 rer , b raghavachari","proc 28th ann allerton conference on communication , control & hellip ; ,",
63381,voodb : a generic discrete-event random simulation model to evaluate the performances of oodbs,"j darmont , m schneider","proceedings of the 25th international conference on very & hellip ; ,",1999.0
63382,workflow management : state of the art vs,"w du , a elmagarmid","state of the products . in [ dogac et al. ,",
63383,"the geometry and mechanics of a hanging wall anticline , grand canyon , az",p resor,"d. pollard & a. aydin , eds. , proceedings of the stanford & hellip ; ,",
63384,automated construction of topic-specific web search engines with data mining techniques,"j yi , n sundaresan , a huang",ibm research report . ibm almaden research,
63385,photochemistry of supramolecular systems containing c60 [ j ],"d gust , ta moore , al moore","acc chem res ,",
63386,efficient exploration of large scientific databases,"e stolte , g alonso","vldb ,",2002.0
63387,survival and reproduction of translocated virginia black bears,"lm comly , mr vaughan","international conference on bear research and management ,",
63388,normalization and hierarchical dependencies in the relational data model,c delobel,"acm transactions on database systems ,",1978.0
63389,on supporting containment queries in relational database management systems,"c zhang , j naughton , d dewitt , q luo , g lohman","sigmod conference ,",2001.0
63390,untersuchungen ã 1/4 ber die biotopansprã 1/4 che und einen allfã $ lligen rã 1/4 ckgang von roten waldameisen aus,em kissling,,1985.0
63391,streamon : an adaptive engine for stream query processing,"s babu , j widom","proc . of the 2004 acm sigmod intl. conf . on management of & hellip ; ,",2004.0
63392,"induction of glycerol-3-phosphate dehydrogenase in the euryhaline yeast debaryomyces hansenii , by",pe thomei,,1995.0
63393,predicting the development effort of multimedia courseware,"im marshall , wb samson , pi dugard , wa scott","information and software technology ,",
63394,the role of research in the practice of adult education,ba quigley,"new directions for adult and continuing education ,",1997.0
63395,preparing international students for a successful social experience in higher education,jg lacina,"new directions for higher education ,",2002.0
63396,large eddy simulation of turbulent methane-air non-premixed flame,m hirohata,"procs . of 4th jsme/ksme thermal engng . conf ,",
63397,e-books open up ( open standard for electronic books ),s nash,pc,
63398,"outlier detection for high dimensional data . santa barbara , california , 2001","cc aggarwal , ps yu",proceedings of the 2001 acm sigmod international conference,
63399,"mining quantitative association rules in large relational tables , the 1996 acm sigmod internat","r srikant , r agrawal","conf . on management of data , monreal , canada , june ,",
63400,untersuchung lokaler chemischer und tribologischer eigenschaften von oxidischen und organischen,a marti,"ph. d. dissertation , eth zurich , zurich , switzerland ,",
63401,the functional morphology of eisenia arborea,"ac charters , m neushul , c barilotti","proc . int . seaweed symp ,",
63402,"agrawal , \ \ miningquantitativeassociationrules inlarge relational tables",r srikantandr,"proc . oftheacm-sigmod intâ ?? l. conf . on management of data , & hellip ; ,",
63403,kweelt : more than just â ?? yet another framework to query xml!â ??,a sahuguet,"acm sigmod record ,",2001.0
63404,motivational strategies and their application to the educational needs of adult learners at,e biggerstaff,,2003.0
63405,using laser triangulation to measure vertical distance and displacement of laryngeal mucosa during,"s hertegaard , g bjoerk , g manneberg","phonoscope-san diego - ,",1998.0
63406,parameter-bounding identification algorithms for bounded-noise records,sh mo,,
63407,"i-spy anonymous , community-based personalization by collaborative meta-search","b smyth , j freyne , m coyle , p briggs , e balfe","proceedings of the 23rd sgai international conference on & hellip ; ,",
63408,study of deposition control using transpiration,"jf louis , h kozlu","technical progress report massachusetts inst . of tech. ,",
63409,on convection currents in a horizontal layer of fluid when the higher temperature is on the under,l rayleigh,"phil . mag ,",
63410,energy-performance trade-offs for spatial access methods on memory-resident data,"n an , s gurumurthi , a sivasubramaniam , n","the vldb journal the international journal on very large & hellip ; ,",2002.0
63411,linear road : a stream data management benchmark,"a arasu , m cherniack , e galvez , d maier , a maskey ,","proceedings of the international conference on very large & hellip ; ,",2004.0
63412,a hybrid mac protocol for a metro wdm network using multiple free spectral ranges of an arrayed -,"m maier , m reisslein , a wolisz","computer networks ,",2003.0
63413,admire : an adaptive data model for meta search engines,"l huang , m hemmje , ej neuhold","www9 / computer networks ,",2000.0
63414,a hierarchical internet object cache . 1996 usenix technical conf,"a chankhunthod , p danzig , c neerdaelsâ ? ¦","san diego ,",
63415,electronic commerce,"g doukidis , m themistocleous , w drakos , a",,1998.0
63416,j. ways to implement loqic programs,"f bancllhon , d maier , y sagiv","proc 5th acm sigmod-sigact symd . on pr ~ ncl-dies of database & hellip ; ,",
63417,temporal conditions and integrity constraints in active database systens,"ap sitsla , o wolfson","proceedings of acm sigmod-95 ,",
63418,measurements of impulse response of a wideband radio channel at 910 mhz from a moving vehicle,j van rees,"electronic letters ,",
63419,institutional effects of interorganizational collaboration : the emergence of proto-institutions,"tb lawrence , c hardy , n phillips","academy of management journal ,",2002.0
63420,iucr xvii congress and general assembly,cp brock,"seattle , washington ,",
63421,dynamic query evaluation plans : some course corrections ?,g graefe,,
63422,on the sensitivity of a nm-64 standard neutron monitor at sea level to solar neutrons in dependence,"h debrunner , eo flã 1/4 ckiger , p stein",proc . 21st int . cosmic ray,
63423,an introduction to c# generics,j lowy,,
63424,tracheal suctioning without disconnection in intubated ventilated neonates,"pg woodgate , v flenady","cochrane database syst rev ,",2001.0
63425,case reports of two patients with pneumothorax following acupuncture,"gm vilke , ea wulfert","journal of emergency medicine ,",1997.0
63426,widmayer : â ?? a general approach to bulk loading multidimensional index structuresâ ??,s van den bercken,,1997.0
63427,proving more properties with bounded model checking,"m awedh , f somenzi","lecture notes in computer science. ,",2004.0
63428,kiernan . watermarking relational databases,r agrawal andj,"proc . of the 28th intâ ?? l conferenceon very largedatabases ,",
63429,"ande . miller , 1999 . '' animprovedlong-termfile usage predictionalgorithm , ''",t gibson,"proceedings of the 24th annual international conference & hellip ; ,",
63430,telegraphcq : continuous dataflow processing,s chandrasekaran,"proceedings of the 2003 acm sigmod international conference & hellip ; ,",2003.0
63431,hardware description of the workstation ceres,h eberle,"& hellip ; federal institute of technology ( eth ) zurich , switzerland .",
63432,the sr-tree : an index structure forhigh-dimensionalnearest neighbor queries,"n katayama , s satoh","acm sigmod conf ,",
63433,remarks on remarks on many-sorted equational logic,"ja goguen , j meseguer","acm sigplan notices ,",1987.0
63434,close relationships and adjustment to a life crisis : the case of breast cancer,"n bolger , m foster , ad vinokur , r ng","journal of personality and social psychology ,",1996.0
63435,how the committee built the standards,sb anderson,"new directions for program evaluation ,",1982.0
63436,standard model physics ( and more ) at the lhc,"g altarelli , ml mangano","proceedings , workshop , geneva , switzerland , may 25-26 ,",
63437,continuum models of crystal growth from atomic beams with and without desorption,j villain,"j. de phys . i ,",1991.0
63438,u > karel genie < / u >,"r chandhok , d garlan , p miller , j pane , m tucker","santa barbara , california : kinko &#39; s service corporation & hellip ; ,",
63439,transaction management in an oodbs,"jf garza , w kim","proc . acm sigmod int . conf . on the management of data , & hellip ; ,",
63440,constraints for semistru ctured data and xml,"b peter , f wenfei , s jeromeâ ? ¦","sigmod record ,",
63441,"a , gupta , j. hennessy , m. horowitz , m. lam , the stanforddash multiprocessor","d lenoski , j laudon , k gharachorloo , wd weber",ieee,
63442,the teaching of regional geography,ae frey,"geography ,",
63443,"spherules from upper eocene sediments at odp hole 689b , maud rise","bp glass , c koeberl","antarctic . proc . 29th lunar planet . sci . conf. , abstract ,",
63444,assessing household vulnerability to poverty from cross-sectional data : a methodology and estimates,"s chaudhuri , j jalan , a suryahadi","unpublished manuscript ,",
63445,an efficient domainindependent algorithm for detecting approximately duplicate database records,"am me971 , c elkan","proceedings of sigmod 1997 workshop on research issues on & hellip ; ,",
63446,development of resistance to beta-lactam antibiotics during therapy of pseudomonas aeruginosa,"k shannon , a king , i phillips","lancet i ,",1982.0
63447,"laboratory methods used for the third national health and nutrition examination survey ( nhanes iii ) ,","ew gunter , bl lewis , sm koncikowski","md ,",
63448,mos vlsi reliability and yield trends,m woods,"ieee , proceedings ,",1986.0
63449,timing correlation in telemetry recording and processing systems,"fl matthews , rg streich","& hellip ; telemetering conference , washington , d. c , proceedings ,",1973.0
63450,a new vision for continuing higher education : creating economic wellness,sm wyman,"new directions for higher education ,",1997.0
63451,gluten-and casein-free diets for autistic spectrum disorder,"c millward , m ferriter , s calver , g connell-jones","cochrane database syst rev ,",2004.0
